Question,Option a,Option b,Option c,Option d,Correct Answer,Explanation
"पानीपत के युद्ध में बाबर के जीतने का मुख्य कारण क्या था?", "उसकी घुड़सवारी सेना", "उसकी सैन्य कुशलता", "तुलुगमा पद्धति", "अफगानों की आपसी फूट", "तुलुगमा पद्धति", "Babur's victory in the Battle of Panipat was due to the Tulugama strategy."
"मध्यकाल में जौनपुर में स्वतंत्र 'शर्की राजवंश की स्थापना किसने की?", "मलिक-उल-रार्क", "हुसैन शाह रार्की", "शम्सुद्दीन इब्राहिमशाह", "फिरोजशाह तुगलक", "हुसैन शाह रार्की", "Hussain Shah Sharqi founded the Sharqi Dynasty in Jaunpur."
"अधिक संख्या में दफनाए गए बच्चों के शवधान प्राप्त हुए हैं-", "मालवा संस्कृति से", "जोर्वे सस्कृति से", "कायदा संस्कृति से", "अहार सस्कृति ने", "कायदा संस्कृति से", "The Kayatha culture is known for having a large number of buried children's remains."
"भागवत सम्प्रदाय के विकास में किसका योगदान अत्यधिक वा?", "पार्थियन", "हिन्द-यूनानी", "कुषाण", "गुप्त", "गुप्त", "The Gupta period saw significant development and patronage of the Bhagavat Sampradaya."
"धमेक स्तूप कहाँ स्थित है?", "आगरा", "मिर्जापुर", "जौनपुर", "सारनाथ", "सारनाथ", "The Dhamek Stupa is located in Sarnath."
"वह सुल्तान कौन था, जिसने खलीफा के अधिकार को मानने से इंकार कर दिया था?", "इल्तुतमिश", "अलाउद्दीन खिलजो", "बलबन", "मुहम्मद बिन तुगलक", "मुहम्मद बिन तुगलक", "Muhammad bin Tughlaq refused to recognize the authority of the Caliph."
"यूरोप को उत्तरी अमेरिका से कौन-सा सागर या महासागर अलग करता है?", "उत्तरी अटलाण्टिक महासागर", "प्रशान्त महासागर", "काला सागर", "कैस्पियन सागर", "उत्तरी अटलाण्टिक महासागर", "The North Atlantic Ocean separates Europe from North America."
"शिवालिक' शैल समूह के दक्षिण में भावर क्षेत्र उदाहरण है-", "मध्यभूमि स्थिति का", "अंतरा पर्वतीय स्थिति का", "गिरिपद स्थिति का", "इनमें से सभी", "गिरिपद स्थिति का", "The Bhabhar region is a piedmont plain."
"निम्नलिखित में से कौन-सा सौर परिवार से संबंधित नहीं है ?", "क्षुद्रग्रह", "निहारिका", "ग्रह", "धूमकेतु", "निहारिका", "A nebula is not part of the solar system."
"सूची-1 को सूची-II से सुमेलित कीजिए तथा सूचियों के नीचे दिए गए कूट का प्रयोग कर सही उत्तर चुनिए-", "अनुच्छेद-26", "अनुच्छेद-40", "अनुच्छेद-98", "अनुच्छेद-239", "3 4 2 1", "The correct matching of items is: Article 26 - Freedom of religion, Article 40 - Organization of village panchayats, Article 98 - Parliament Secretariat, Article 239 - Administration of Union Territories."
